Name,Group,Profile,Enabled,Action,Override,Program,Local Address,Remote Address,Protocol,Local Port,Remote Port,Authorized Computers,Authorized Local Principals,Local User Owner,PolicyAppId,Application Package,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,TCP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Public,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
ms-resource:ProductPkgDisplayName,{78E1CD88-49E3-476E-B926-580E596AD309},Private,Yes,Allow,No,C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe,Any,Any,UDP,7000,Any,Any,Any,Any,None,Any,
AllJoyn Router (TCP-Out),AllJoyn Router,Domain, Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
AllJoyn Router (UDP-Out),AllJoyn Router,Domain, Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
App Installer,App Installer,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,Microsoft.DesktopAppInstaller_8wekyb3d8bbwe,
AudioWizard,AudioWizard,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,LUCIFER\deena,None,ICEpower.AudioWizard_dxp88312j1fgj,
Captive Portal Flow,Captive Portal Flow,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy,
Cast to Device functionality (qWave-TCP-Out),Cast to Device functionality,Private, Public,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,PlayTo Renderers,TCP,Any,2177,Any,Any,Any,None,Any,
Cast to Device functionality (qWave-UDP-Out),Cast to Device functionality,Private, Public,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,PlayTo Renderers,UDP,Any,2177,Any,Any,Any,None,Any,
Cast to Device streaming server (RTP-Streaming-Out),Cast to Device functionality,Public,Yes,Allow,No,%SystemRoot%\system32\mdeserver.exe,Any,PlayTo Renderers,UDP,Any,Any,Any,Any,Any,None,Any,
Cast to Device streaming server (RTP-Streaming-Out),Cast to Device functionality,Domain,Yes,Allow,No,%SystemRoot%\system32\mdeserver.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Cast to Device streaming server (RTP-Streaming-Out),Cast to Device functionality,Private,Yes,Allow,No,%SystemRoot%\system32\mdeserver.exe,Any,Local subnet,UDP,Any,Any,Any,Any,Any,None,Any,
Click to Do,Click to Do,All,Yes,Allow,No,Any,Any,Any,Any,Any,Any,Any,Any,NT AUTHORITY\SYSTEM,None,MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy,
Connected Devices Platform - Wi-Fi Direct Transport (TCP-Out),Connected Devices Platform,Public,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Connected Devices Platform (TCP-Out),Connected Devices Platform,Domain, Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Connected Devices Platform (UDP-Out),Connected Devices Platform,Domain, Private,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,Any,Any,Any,Any,None,Any,
Core Networking - DNS (UDP-Out),Core Networking,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,Any,53,Any,Any,Any,None,Any,
Core Networking - Dynamic Host Configuration Protocol (DHCP-Out),Core Networking,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,68,67,Any,Any,Any,None,Any,
Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-Out),Core Networking,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,UDP,546,547,Any,Any,Any,None,Any,
Core Networking - Group Policy (LSASS-Out),Core Networking,Domain,Yes,Allow,No,%SystemRoot%\system32\lsass.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Core Networking - Group Policy (NP-Out),Core Networking,Domain,Yes,Allow,No,System,Any,Any,TCP,Any,445,Any,Any,Any,None,Any,
Core Networking - Group Policy (TCP-Out),Core Networking,Domain,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,Any,Any,Any,Any,None,Any,
Core Networking - Internet Group Management Protocol (IGMP-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,IGMP,Any,Any,Any,Any,Any,None,Any,
Core Networking - IPHTTPS (TCP-Out),Core Networking,All,Yes,Allow,No,%SystemRoot%\system32\svchost.exe,Any,Any,TCP,Any,IPHTTPS,Any,Any,Any,None,Any,
Core Networking - IPv6 (IPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Any,IPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Multicast Listener Done (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Local subnet,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Multicast Listener Query (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Local subnet,ICMPv6,Any,Any,Any,Any,Any,None,Any,
Core Networking - Multicast Listener Report (ICMPv6-Out),Core Networking,All,Yes,Allow,No,System,Any,Local subnet,ICMPv6,Any,Any,Any,Any,Any,None,Any,
